"status" "family" "pval" "qval" "gene_short_name" "num_cells_expressed"
"ENSMUSG00000000001" "OK" "tobit" 1.05670965344082e-09 4.42505891863594e-09 "Gnai3" 446
"ENSMUSG00000000028" "OK" "tobit" 0.0521391188340121 0.0815477633233759 "Cdc45" 222
"ENSMUSG00000000031" "OK" "tobit" 2.73399203143383e-37 4.36392484372871e-36 "H19" 447
"ENSMUSG00000000037" "OK" "tobit" 0.398039150574475 0.470885246798435 "Scml2" 47
"ENSMUSG00000000049" "OK" "tobit" 2.55110225625389e-29 3.01528491883849e-28 "Apoh" 428
"ENSMUSG00000000056" "OK" "tobit" 1.18577152499291e-05 3.39495640735868e-05 "Narf" 386
"ENSMUSG00000000078" "OK" "tobit" 1.59092695416315e-10 7.07525034329012e-10 "Klf6" 312
"ENSMUSG00000000085" "OK" "tobit" 0.0196533042771978 0.0340033700244061 "Scmh1" 317
"ENSMUSG00000000088" "OK" "tobit" 8.98691124123871e-05 0.000230863116975095 "Cox5a" 447
"ENSMUSG00000000127" "OK" "tobit" 0.00837439828774799 0.015630500807914 "Fer" 324
"ENSMUSG00000000131" "OK" "tobit" 0.00588429824160149 0.0113586806880263 "Xpo6" 352
"ENSMUSG00000000134" "OK" "tobit" 0.328447019656447 0.401162461397448 "Tfe3" 331
"ENSMUSG00000000142" "OK" "tobit" 0 0 "Axin2" 77
"ENSMUSG00000000148" "OK" "tobit" 0.0196507177531848 0.0340026065925742 "Brat1" 319
"ENSMUSG00000000149" "OK" "tobit" 0.3409441839417 0.413724400547026 "Gna12" 100
"ENSMUSG00000000154" "OK" "tobit" 8.51623420633487e-05 0.000219447751862149 "Slc22a18" 370
"ENSMUSG00000000157" "OK" "tobit" 0.44249590728909 0.51456787458049 "Itgb2l" 19
"ENSMUSG00000000159" "OK" "tobit" 0.0269520643636925 0.0452532012886151 "Igsf5" 256
"ENSMUSG00000000167" "OK" "tobit" 9.46324795453193e-09 3.65389720047092e-08 "Pih1d2" 70
"ENSMUSG00000000168" "OK" "tobit" 2.6813280819611e-07 9.13368796455693e-07 "Dlat" 444
"ENSMUSG00000000171" "OK" "tobit" 6.13513726523885e-52 1.43213439843941e-50 "Sdhd" 447
"ENSMUSG00000000184" "OK" "tobit" 1.99505271819466e-56 5.0675617922092e-55 "Ccnd2" 283
"ENSMUSG00000000194" "OK" "tobit" 0.0441254358335132 0.070318535889924 "Gpr107" 332
"ENSMUSG00000000215" "OK" "tobit" 0.743477839261721 0.785713011888137 "Ins2" 12
"NA" NA NA NA NA NA NA
"ENSMUSG00000000275" "OK" "tobit" 0.000115649656489951 0.000292266952808984 "Trim25" 400
"ENSMUSG00000000276" "OK" "tobit" 0.0235165231132303 0.0399546458725158 "Dgke" 84
"ENSMUSG00000000278" "OK" "tobit" 0.00788919718368978 0.0148015832577513 "Scpep1" 445
"ENSMUSG00000000282" "OK" "tobit" 0.129503224770062 0.182216424521098 "Mnt" 161
"ENSMUSG00000000295" "OK" "tobit" 7.28672620296194e-31 9.09406380448399e-30 "Hddc2" 233
"ENSMUSG00000000296" "OK" "tobit" 0.0416521455901705 0.0668204967210732 "Tpd52l1" 75
"ENSMUSG00000000301" "OK" "tobit" 7.17211351585822e-11 3.27602303245973e-10 "Pemt" 260
"ENSMUSG00000000303" "OK" "tobit" 1.34946931135233e-16 8.96441265085268e-16 "Cdh1" 415
"ENSMUSG00000000325" "OK" "tobit" 1.7189581014621e-17 1.21091048480775e-16 "Arvcf" 257
"ENSMUSG00000000326" "OK" "tobit" 0.452715512493578 0.524392178224049 "Comt" 446
"ENSMUSG00000000339" "OK" "tobit" 7.8737013605579e-07 2.54638168873378e-06 "Rtca" 400
"ENSMUSG00000000340" "OK" "tobit" 1.61123971919291e-19 1.25927759118381e-18 "Dbt" 434
"ENSMUSG00000000346" "OK" "tobit" 8.38355832717645e-58 2.19999005771104e-56 "Dazap2" 447
"ENSMUSG00000000355" "OK" "tobit" 8.17266051939383e-05 0.000211074905055226 "Mcts1" 429
"ENSMUSG00000000374" "OK" "tobit" 0.00738780210416948 0.0139483815784498 "Trappc10" 86
"ENSMUSG00000000378" "OK" "tobit" 7.39163598691006e-05 0.000192218917789212 "Ccm2" 358
"ENSMUSG00000000384" "OK" "tobit" 0.0534765370015406 0.0834665791703021 "Tbrg4" 421
"ENSMUSG00000000385" "OK" "tobit" 0.0189823716294526 0.0329685065008574 "Tmprss2" 289
"ENSMUSG00000000399" "OK" "tobit" 0.000431215409713126 0.0010104618929558 "Ndufa9" 447
"ENSMUSG00000000409" "OK" "tobit" 2.88087865088599e-05 7.84973811527299e-05 "Lck" 159
"NA.1" NA NA NA NA NA NA
"ENSMUSG00000000420" "OK" "tobit" 1.07428186493038e-05 3.0885847195985e-05 "Galnt1" 385
"ENSMUSG00000000439" "OK" "tobit" 0.620512084173095 0.678798849757992 "Mkrn2" 320
"NA.2" NA NA NA NA NA NA
"ENSMUSG00000000441" "OK" "tobit" 0.00504524546515679 0.00986152924192072 "Raf1" 447
"ENSMUSG00000000486" "OK" "tobit" 0.0607331328974392 0.0935672780350322 "Sept1" 56
"ENSMUSG00000000489" "OK" "tobit" 0.0701392385399435 0.106078905616231 "Pdgfb" 48
"NA.3" NA NA NA NA NA NA
"ENSMUSG00000000532" "OK" "tobit" 0.85519609325132 0.880357087616641 "Acvr1b" 127
"ENSMUSG00000000538" "OK" "tobit" 1.34572093202277e-08 5.13968115001467e-08 "Tom1l2" 206
"ENSMUSG00000000552" "OK" "tobit" 0.000743363441548208 0.00167576597191567 "Zfp385a" 378
"ENSMUSG00000000555" "OK" "tobit" 0.102109370692054 0.147869668841393 "Itga5" 430
"ENSMUSG00000000561" "OK" "tobit" 0.00777113160083398 0.0146112214981563 "Wdr77" 437
"ENSMUSG00000000563" "OK" "tobit" 2.50471497414458e-13 1.36331498420987e-12 "Atp5f1" 447
"ENSMUSG00000000567" "OK" "tobit" 2.60054380104366e-58 6.90429133107908e-57 "Sox9" 183
"ENSMUSG00000000568" "OK" "tobit" 0.00010368828096934 0.000264179272362007 "Hnrnpd" 426
"ENSMUSG00000000579" "OK" "tobit" 1.51663522933951e-05 4.2773431290091e-05 "Dynlt1c" 378
"ENSMUSG00000000581" "OK" "tobit" 1.06496793729822e-10 4.79538119493657e-10 "C1d" 447
"ENSMUSG00000000594" "OK" "tobit" 4.10878906137276e-21 3.43482629866869e-20 "Gm2a" 427
"ENSMUSG00000000600" "OK" "tobit" 3.95708153503628e-05 0.000106214635614437 "Krit1" 333
"ENSMUSG00000000605" "OK" "tobit" 2.31150214856927e-06 7.14316807463891e-06 "Clcn4-2" 359
"ENSMUSG00000000628" "OK" "tobit" 6.14160795445321e-05 0.000161059705622242 "Hk2" 308
"ENSMUSG00000000631" "OK" "tobit" 1.56365114342138e-13 8.66266012695871e-13 "Myo18a" 423
"ENSMUSG00000000673" "OK" "tobit" 2.838591471449e-68 8.83922884527833e-67 "Haao" 311
"ENSMUSG00000000686" "OK" "tobit" 2.65383166938669e-07 9.04585633543637e-07 "Abhd15" 153
"ENSMUSG00000000708" "OK" "tobit" 0.414868450640561 0.487736607525062 "Kat2b" 179
